caller	callee
LZ4_compress_continue	memcpy@plt
LZ4_compress_limitedOutput	__stack_chk_fail@plt
LZ4_compress_limitedOutput	memcpy@plt
LZ4_compress_limitedOutput	memset@plt
LZ4_compress_limitedOutput_continue	memcpy@plt
LZ4_create	calloc@plt
LZ4_create	memset@plt
LZ4_createHC	calloc@plt
LZ4_createHC	memset@plt
LZ4_decompress_fast	__stack_chk_fail@plt
LZ4_decompress_fast	memcpy@plt
LZ4_decompress_safe	__stack_chk_fail@plt
LZ4_decompress_safe	memcpy@plt
LZ4_decompress_safe_partial	__stack_chk_fail@plt
LZ4_decompress_safe_partial	memcpy@plt
LZ4_decompress_safe_withPrefix64k	__stack_chk_fail@plt
LZ4_decompress_safe_withPrefix64k	memcpy@plt
LZ4_free	free@plt
LZ4_freeHC	free@plt
LZ4_slideInputBuffer	memcpy@plt
LZ4_slideInputBufferHC	memcpy@plt
LoadBlock.part.129	error.isra.128
LoadFunction	LoadBlock.part.129
LoadFunction	LoadFunction
LoadFunction	LoadInt
LoadFunction	LoadStringZep
LoadFunction	__stack_chk_fail@plt
LoadFunction	error.isra.128
LoadFunction	luaM_realloc_
LoadFunction	luaM_toobig
LoadFunction	luaZ_fill
LoadFunction	memcpy@plt
LoadFunction	memset@plt
LoadInt	LoadBlock.part.129
LoadInt	__stack_chk_fail@plt
LoadInt	error.isra.128
LoadInt	memcpy@plt
LoadStringZep	LoadBlock.part.129
LoadStringZep	__stack_chk_fail@plt
LoadStringZep	luaM_realloc_
LoadStringZep	luaM_toobig
LoadStringZep	luaZ_fill
LoadStringZep	memcpy@plt
LodeFlate_deflate	HuffmanTree_makeFromLengths2
LodeFlate_deflate	__stack_chk_fail@plt
LodeFlate_deflate	codo_free
LodeFlate_deflate	codo_realloc
LodeFlate_deflate	deflateDynamic
LodeFlate_deflate	encodeLZ77
LodeFlate_deflate	generateFixedTree
LodeFlate_deflate	writeLZ77data.isra.8
LodeFlate_inflate	HuffmanTree_makeFromLengths2
LodeFlate_inflate	__stack_chk_fail@plt
LodeFlate_inflate	codo_free
LodeFlate_inflate	codo_realloc
LodeFlate_inflate	generateFixedTree
LodePNG_Decoder_cleanup	codo_free
LodePNG_Decoder_copy	LodePNG_InfoPng_cleanup
