caller	callee
codo_load_pico8_cart_from_file	codo_feof
codo_load_pico8_cart_from_file	codo_fgets_sensitive
codo_load_pico8_cart_from_file	codo_free
codo_load_pico8_cart_from_file	codo_fwrite
codo_load_pico8_cart_from_file	codo_realloc
codo_load_pico8_cart_from_file	convert_escaped_to_glyphs
codo_load_pico8_cart_from_file	memcpy@plt
codo_load_pico8_cart_from_file	memset@plt
codo_load_pico8_cart_from_file	sscanf@plt
codo_load_pico8_cart_from_file	strcat@plt
codo_load_pico8_cart_from_file	strlen@plt
codo_load_pico8_cart_from_file	strstr@plt
codo_load_png	LodePNG_decode32_codo_file
codo_load_png	__stack_chk_fail@plt
codo_load_png	codo_create_bitmap
codo_load_png	codo_fopen_vdisk
codo_load_png	codo_free
codo_load_png	codo_is_legal_filename
codo_load_png	codo_malloc
codo_load_png	codo_memset
codo_load_png	fclose@plt
codo_load_png	fopen@plt
codo_load_png	memcpy@plt
codo_load_png	vdisk_file_owned
codo_load_png_from_file	LodePNG_decode32_codo_file
codo_load_png_from_file	__stack_chk_fail@plt
codo_load_png_from_file	codo_create_bitmap
codo_load_png_from_file	codo_free
codo_load_png_from_file	memcpy@plt
codo_load_pod	__sprintf_chk@plt
codo_load_pod	codo_debug
codo_load_pod	codo_fopen_vdisk
codo_load_pod	codo_free
codo_load_pod	codo_is_legal_filename
codo_load_pod	codo_load_pod_file
codo_load_pod	codo_malloc
codo_load_pod	codo_memset
codo_load_pod	fclose@plt
codo_load_pod	fopen@plt
codo_load_pod	vdisk_file_owned
codo_load_pod_file	LZ4_decompress_safe
codo_load_pod_file	__memcpy_chk@plt
codo_load_pod_file	__stack_chk_fail@plt
codo_load_pod_file	canim_new_actor
codo_load_pod_file	cmodel_decorate
codo_load_pod_file	cmodel_max_polygons
codo_load_pod_file	cmodel_max_vertices
codo_load_pod_file	codo_create_anim
codo_load_pod_file	codo_create_anim_channel
codo_load_pod_file	codo_create_bitmap
codo_load_pod_file	codo_create_buffer
codo_load_pod_file	codo_create_material
codo_load_pod_file	codo_create_model
codo_load_pod_file	codo_create_palette
codo_load_pod_file	codo_create_pod
codo_load_pod_file	codo_create_sound
codo_load_pod_file	codo_create_synth
codo_load_pod_file	codo_create_voxmap
codo_load_pod_file	codo_debug
codo_load_pod_file	codo_destroy_pod
codo_load_pod_file	codo_fread
codo_load_pod_file	codo_fread.constprop.13
codo_load_pod_file	codo_fread.constprop.14
codo_load_pod_file	codo_fread_lz4
codo_load_pod_file	codo_malloc
codo_load_pod_file	codo_memset
codo_load_pod_file	codo_sound_lock
codo_load_pod_file	codo_sound_release
codo_load_pod_file	cpod_add_item
codo_load_pod_file	cpoly_set_num_vertices
codo_load_pod_file	csound_set_frequency
codo_load_pod_file	feof@plt
codo_load_pod_file	fread@plt
codo_load_pod_file	fseek@plt
codo_load_pod_file	read_anim_channel.isra.3
codo_load_pod_set	__sprintf_chk@plt
codo_load_pod_set	codo_debug
codo_load_pod_set	codo_fopen_vdisk
codo_load_pod_set	codo_free
codo_load_pod_set	codo_is_legal_filename
codo_load_pod_set	codo_load_pod_file
codo_load_pod_set	codo_malloc
codo_load_pod_set	codo_memset
codo_load_pod_set	cpod_set_init
codo_load_pod_set	fclose@plt
codo_load_pod_set	fopen@plt
codo_load_pod_set	vdisk_file_owned
codo_load_pod_set_from_memory	__sprintf_chk@plt
codo_load_pod_set_from_memory	codo_debug
codo_load_pod_set_from_memory	codo_free
codo_load_pod_set_from_memory	codo_load_pod_file
codo_load_pod_set_from_memory	codo_malloc
codo_load_pod_set_from_memory	codo_memset
codo_load_pod_set_from_memory	fclose@plt
codo_load_pod_set_from_memory	vdisk_file_owned
codo_load_pod_set_from_text_file	__sprintf_chk@plt
codo_load_pod_set_from_text_file	__stack_chk_fail@plt
codo_load_pod_set_from_text_file	codo_debug
codo_load_pod_set_from_text_file	codo_fopen_vdisk
codo_load_pod_set_from_text_file	codo_free
codo_load_pod_set_from_text_file	codo_load_pod_file
codo_load_pod_set_from_text_file	codo_malloc
codo_load_pod_set_from_text_file	codo_memset
codo_load_pod_set_from_text_file	codo_split_filename_ex.part.0
codo_load_pod_set_from_text_file	codo_strcasestr
codo_load_pod_set_from_text_file	cpod_set_init
codo_load_pod_set_from_text_file	fclose@plt
codo_load_pod_set_from_text_file	feof@plt
codo_load_pod_set_from_text_file	fgetc@plt
codo_load_pod_set_from_text_file	fgets@plt
codo_load_pod_set_from_text_file	fopen@plt
codo_load_pod_set_from_text_file	sscanf@plt
codo_load_pod_set_from_text_file	strlen@plt
codo_load_pod_set_from_text_file	vdisk_file_owned
codo_load_stable	codo_fclose
codo_load_stable	codo_fopen
codo_load_stable	codo_load_stable_from_file
codo_load_stable_config	__stack_chk_fail@plt
codo_load_stable_config	add_key
codo_load_stable_config	codo_fclose
codo_load_stable_config	codo_feof
codo_load_stable_config	codo_fgets_sensitive
codo_load_stable_config	codo_fopen
codo_load_stable_config	codo_malloc
codo_load_stable_config	codo_memset
codo_load_stable_config	codo_realloc
codo_load_stable_config	codo_strcpy
codo_load_stable_config	strlen@plt
codo_load_stable_from_file	__stack_chk_fail@plt
codo_load_stable_from_file	add_key
codo_load_stable_from_file	codo_feof
codo_load_stable_from_file	codo_fgets_sensitive
codo_load_stable_from_file	codo_malloc
codo_load_stable_from_file	codo_memset
codo_load_stable_from_file	codo_realloc
codo_load_stable_from_file	codo_strcpy
codo_load_stable_from_file	strchr@plt
codo_load_tga	__memcpy_chk@plt
codo_load_tga	__sprintf_chk@plt
codo_load_tga	__stack_chk_fail@plt
codo_load_tga	codo_create_bitmap
codo_load_tga	codo_debug
codo_load_tga	codo_fopen_vdisk
codo_load_tga	codo_fread.constprop.14
codo_load_tga	codo_free
codo_load_tga	codo_malloc
codo_load_tga	codo_memset
codo_load_tga	codo_putpixel
codo_load_tga	codo_split_filename_ex.part.0
codo_load_tga	codo_strcasestr
codo_load_tga	fclose@plt
codo_load_tga	fopen@plt
codo_load_tga	fread@plt
codo_load_tga	strlen@plt
codo_load_tga	vdisk_file_owned
codo_load_xm	codo_debug
codo_load_xm	codo_fclose
codo_load_xm	codo_fopen
codo_load_xm	codo_load_xm_from_file
codo_load_xm_from_file	__stack_chk_fail@plt
codo_load_xm_from_file	codo_debug
codo_load_xm_from_file	codo_fix_int16
codo_load_xm_from_file	codo_fread
codo_load_xm_from_file	codo_fread_uint16
codo_load_xm_from_file	codo_fread_uint32
codo_load_xm_from_file	codo_malloc
codo_load_xm_from_file	codo_memset
codo_lock_audio_plat	SDL_LockAudio@plt
codo_lock_mouse_cursor	SDL_GetMouseState@plt
codo_lock_mouse_cursor	SDL_GetWindowSize@plt
codo_lock_mouse_cursor	SDL_WarpMouseInWindow@plt
codo_lock_mouse_cursor	__stack_chk_fail@plt
codo_main	__printf_chk@plt
codo_main	codo_blit_back_page
codo_main	codo_exit.part.1
codo_main	codo_get_mouse
codo_main	codo_handle_system_messages
codo_main	codo_main_draw
codo_main	codo_main_init
codo_main	codo_main_update
codo_main	codo_process_gui
codo_main	codo_register_frame_end_for_fps
codo_main	codo_register_frame_start_for_fps
codo_main	codo_strcpy
codo_main	codo_timer_end
codo_main	codo_timer_start
codo_main	codo_update_music_fading
codo_main	do_scancode_tester
codo_main_draw	__sprintf_chk@plt
codo_main_draw	__stack_chk_fail@plt
codo_main_draw	apply_draw_mode
codo_main_draw	blit_pico8_back_page_to_pico8_screen
codo_main_draw	codo_blit
codo_main_draw	codo_clear_bitmap
codo_main_draw	codo_draw_sprite
codo_main_draw	codo_draw_text_ex
codo_main_draw	codo_get_gui_element
codo_main_draw	codo_get_mouse
codo_main_draw	codo_get_time
codo_main_draw	codo_gui_broadcast
codo_main_draw	codo_gui_cursor_element
codo_main_draw	codo_rect
codo_main_draw	codo_rectfill
codo_main_draw	draw_code_tab_preview
codo_main_draw	draw_command_string.part.2
codo_main_draw	draw_cpu_spinner
codo_main_draw	draw_extpal_glitch
codo_main_draw	draw_paused_menu
codo_main_draw	draw_resource_data
codo_main_draw	draw_tv_frame
codo_main_draw	get_number_of_displays
codo_main_draw	keyconfig_draw
codo_main_draw	set_draw_display
codo_main_draw	splore_draw
codo_main_exit	codo_find_close
codo_main_exit	detect_unsaved_changes
codo_main_exit	fclose@plt
codo_main_exit	flush_activity_log_buffer
codo_main_exit	gpio_close
codo_main_exit	save_backup
codo_main_exit	save_cdata
codo_main_init	__printf_chk@plt
codo_main_init	__sprintf_chk@plt
codo_main_init	__stack_chk_fail@plt
codo_main_init	__strcpy_chk@plt
codo_main_init	boot_init
codo_main_init	codo_create_bitmap
codo_main_init	codo_create_ctext
codo_main_init	codo_create_pico8_cart
codo_main_init	codo_file_exists
codo_main_init	codo_find_close
codo_main_init	codo_find_first
codo_main_init	codo_init
codo_main_init	codo_load_pico8_cart_from_file
codo_main_init	codo_load_pod
codo_main_init	codo_load_pod_file
codo_main_init	codo_memset
codo_main_init	codo_mkdir
codo_main_init	codo_prefix_with_appdata_path
codo_main_init	codo_prefix_with_current_path
codo_main_init	codo_prefix_with_program_path
codo_main_init	codo_resolve_filename
codo_main_init	codo_set_application_title
codo_main_init	codo_set_load_config_func
codo_main_init	codo_set_palette
codo_main_init	codo_set_post_mix_func
codo_main_init	codo_set_save_config_func
codo_main_init	codo_set_screen
codo_main_init	codo_set_window_icon
codo_main_init	codo_set_window_size
codo_main_init	codo_set_window_title
codo_main_init	codo_sound_init
codo_main_init	codo_strcpy
codo_main_init	create_dbmp
codo_main_init	do_export
codo_main_init	exit@plt
codo_main_init	hash_cart
codo_main_init	init_print_context
codo_main_init	invalidate_capacity_cache
codo_main_init	invalidate_ctext_colors
codo_main_init	load_data_from_url
codo_main_init	load_splash_bmp
codo_main_init	load_working_cart
codo_main_init	memset@plt
codo_main_init	process_arguments
codo_main_init	resolve_to_host_filename
codo_main_init	set_view
codo_main_init	splore_init
codo_main_init	strncmp@plt
codo_main_update	__sprintf_chk@plt
codo_main_update	__stack_chk_fail@plt
codo_main_update	block_buttons
codo_main_update	boot_init
codo_main_update	build_paused_menu
codo_main_update	button_pressed
codo_main_update	codo_get_any_key_down
codo_main_update	codo_get_key_state
codo_main_update	codo_get_mouse
codo_main_update	codo_get_pico8_mixer_state
codo_main_update	codo_get_time
codo_main_update	codo_is_app_active
codo_main_update	codo_keypressed
codo_main_update	codo_lock_mouse_cursor
codo_main_update	codo_readkey
codo_main_update	codo_skip_frame
codo_main_update	codo_strcpy
codo_main_update	exit@plt
codo_main_update	fflush@plt
codo_main_update	get_cpu_cycles_since_flip
codo_main_update	get_current_gif_len
codo_main_update	handle_dropped_file
codo_main_update	keyconfig_close
codo_main_update	keyconfig_update
codo_main_update	log_activity
codo_main_update	move_boot
codo_main_update	move_keyboard_cursor
codo_main_update	pico8_list_files.part.6
codo_main_update	pico8_peek
codo_main_update	pico_print
codo_main_update	player_button
codo_main_update	player_key
codo_main_update	process_editor_keypresses
codo_main_update	process_immediate_mode_keypresses
codo_main_update	process_paused_keypresses
codo_main_update	process_running_keypresses
codo_main_update	read_buttons
codo_main_update	reboot_machine
codo_main_update	record_resource_data
codo_main_update	record_video_frame
codo_main_update	reset_lua_machine
codo_main_update	reset_rate_limits
codo_main_update	reset_video
codo_main_update	run_cart
codo_main_update	run_slice
codo_main_update	save_gif
codo_main_update	save_png_screenshot
codo_main_update	set_cart_label
codo_main_update	set_view
codo_main_update	show_message_2_ex
codo_main_update	splore_update
codo_main_update	suspend_program
codo_main_update	update_buttons
codo_main_update	update_load_download
codo_main_update	update_paused_menu
codo_main_update	update_periodic_backups
codo_main_update	update_punycode_encoding
codo_main_update	update_reset_glitch
codo_malloc	malloc@plt
codo_malloc	memset@plt
codo_malloc_	malloc@plt
codo_mix_xm	__stack_chk_fail@plt
codo_mix_xm	codo_memset
codo_mix_xm	codo_mix_xm_chunk
codo_mix_xm	codo_sound_lock
codo_mix_xm	codo_sound_release
codo_mix_xm_chunk	codo_get_time
codo_mix_xm_chunk	codo_memset
codo_mix_xm_chunk	codo_random
codo_mix_xm_chunk	memset@plt
codo_mix_xm_chunk	update_channel_row
codo_mix_xm_init	codo_memset
codo_mixer_callback_0	codo_fwrite_int16
codo_mixer_callback_0	codo_get_time
codo_mixer_callback_0	codo_memset
codo_mixer_callback_0	codo_mix_xm_chunk
codo_mixer_callback_0	memcpy@plt
codo_mixer_callback_0	memset@plt
codo_mixer_callback_0	mix_sfx_channel
codo_mixer_callback_0	mix_sfx_tick
codo_mouse_init	codo_clear_bitmap
codo_mouse_init	codo_create_bitmap
codo_mouse_init	codo_destroy_bitmap
codo_mouse_init	codo_rectfill
codo_music_get_fading_state	codo_lock_audio_plat
codo_music_get_fading_state	codo_unlock_audio_plat
codo_music_is_playing	codo_lock_audio_plat
codo_music_is_playing	codo_unlock_audio_plat
codo_normalize	sqrtf@plt
codo_open_display	SDL_CreateWindow@plt
codo_open_display	SDL_GL_CreateContext@plt
codo_open_display	SDL_GetDisplayBounds@plt
codo_open_display	__sprintf_chk@plt
codo_open_display	__stack_chk_fail@plt
codo_open_display	codo_debug
codo_pico8_song_is_playing	codo_lock_audio_plat
codo_pico8_song_is_playing	codo_unlock_audio_plat
codo_play_pico8_song	codo_get_time
codo_play_pico8_song	codo_lock_audio_plat
codo_play_pico8_song	codo_play_sfx_ex
codo_play_pico8_song	codo_unlock_audio_plat
codo_play_pico8_song	codo_update_music_fading
codo_play_sfx	codo_lock_audio_plat
codo_play_sfx	codo_unlock_audio_plat
codo_play_sfx_ex	codo_lock_audio_plat
codo_play_sfx_ex	codo_unlock_audio_plat
codo_play_sound	codo_lock_audio_plat
codo_play_sound	codo_unlock_audio_plat
codo_prefix_with_appdata_path	getenv@plt
codo_prefix_with_appdata_path	mkdir@plt
codo_prefix_with_appdata_path	stpcpy@plt
codo_prefix_with_appdata_path	strcat@plt
codo_prefix_with_appdata_path	strlen@plt
codo_prefix_with_current_path	__stack_chk_fail@plt
codo_prefix_with_current_path	getcwd@plt
codo_prefix_with_current_path	stpcpy@plt
codo_prefix_with_desktop_path	getenv@plt
codo_prefix_with_desktop_path	mkdir@plt
codo_prefix_with_desktop_path	stpcpy@plt
codo_prefix_with_program_path	__stack_chk_fail@plt
codo_prefix_with_program_path	codo_debug
codo_prefix_with_program_path	codo_memset
codo_prefix_with_program_path	readlink@plt
codo_prefix_with_program_path	stpcpy@plt
codo_prefix_with_program_path	strcpy@plt
codo_print_date	localtime@plt
codo_process_arguments	__stack_chk_fail@plt
codo_process_arguments	codo_strcpy
codo_process_arguments	sscanf@plt
codo_process_gui	__stack_chk_fail@plt
codo_process_gui	codo_get_mouse
codo_process_gui	codo_get_time
codo_process_gui	codo_lock_audio
codo_process_gui	codo_unlock_audio
codo_push_undo_state	codo_clear_buffer
codo_push_undo_state	codo_destroy_buffer
codo_push_undo_state	codo_fwrite
codo_push_undo_state	codo_fwrite_int32
codo_push_undo_state	generate_patch.isra.0
codo_push_undo_state	memcmp@plt
codo_readkey	codo_handle_messages
codo_readkey	memmove@plt
codo_realloc	malloc@plt
codo_realloc	memset@plt
codo_realloc	realloc@plt
codo_rect_lit	codo_memset
codo_rectfill	codo_memset
codo_redo	apply_patch.isra.1
codo_redo	codo_create_buffer
codo_redo	codo_destroy_buffer
codo_redo	codo_fread_int32
codo_redo	codo_fwrite
codo_redo	codo_fwrite_int32
codo_redo	generate_patch.isra.0
codo_register_frame_end_for_fps	codo_get_time
codo_register_frame_start_for_fps	codo_get_time
codo_release_looping_pico8_channel	codo_lock_audio_plat
codo_reset_timer	codo_get_time
codo_resolve_filename	__stack_chk_fail@plt
codo_resolve_filename	__strcpy_chk@plt
codo_resolve_filename	codo_prefix_with_current_path
codo_resolve_filename	codo_strcpy
codo_resolve_filename	getenv@plt
codo_resolve_filename	stpcpy@plt
codo_resolve_filename	strlen@plt
codo_restart	codo_exit.part.1
codo_restart	codo_main_init
codo_save_bmp	__sprintf_chk@plt
codo_save_bmp	__stack_chk_fail@plt
codo_save_bmp	codo_allocate_buffer_size
codo_save_bmp	codo_debug
codo_save_bmp	codo_free
codo_save_bmp	codo_fwrite
codo_save_bmp	codo_fwrite.constprop.10
codo_save_bmp	codo_getpixel
codo_save_bmp	codo_is_legal_filename
codo_save_bmp	codo_malloc
codo_save_bmp	codo_memset
codo_save_bmp	fclose@plt
codo_save_bmp	fopen@plt
codo_save_bmp	fwrite@plt
codo_save_bmp	vdisk_file_owned
codo_save_clipboard_to_file	SDL_GetClipboardText@plt
codo_save_clipboard_to_file	SDL_HasClipboardText@plt
codo_save_clipboard_to_file	SDL_free@plt
codo_save_clipboard_to_file	codo_malloc
codo_save_clipboard_to_file	fclose@plt
codo_save_clipboard_to_file	fopen@plt
codo_save_clipboard_to_file	fputs@plt
codo_save_clipboard_to_file	memcpy@plt
codo_save_clipboard_to_file	strlen@plt
codo_save_pico8_cart	codo_fclose
codo_save_pico8_cart	codo_fopen
codo_save_pico8_cart	codo_save_pico8_cart_to_file
codo_save_pico8_cart_to_file	__stack_chk_fail@plt
codo_save_pico8_cart_to_file	codo_fprintf_1d
codo_save_pico8_cart_to_file	codo_fprintf_4x
codo_save_pico8_cart_to_file	codo_free
codo_save_pico8_cart_to_file	codo_fwrite
codo_save_pico8_cart_to_file	codo_lock_audio
codo_save_pico8_cart_to_file	codo_malloc
codo_save_pico8_cart_to_file	codo_unlock_audio
codo_save_pico8_cart_to_file	convert_glyphs_to_escaped
codo_save_pico8_cart_to_file	strlen@plt
codo_save_png	LodePNG_encode_file
codo_save_png	__sprintf_chk@plt
codo_save_png	codo_blit
codo_save_png	codo_convert_bitmap
codo_save_png	codo_create_bitmap
codo_save_png	codo_debug
codo_save_png	codo_destroy_bitmap
codo_save_pod	__sprintf_chk@plt
codo_save_pod	codo_debug
codo_save_pod	codo_free
codo_save_pod	codo_is_legal_filename
codo_save_pod	codo_malloc
codo_save_pod	codo_memset
codo_save_pod	codo_save_pod_file
codo_save_pod	fclose@plt
codo_save_pod	fopen@plt
codo_save_pod	vdisk_file_owned
codo_save_pod_file	LZ4_compressHC
codo_save_pod_file	__sprintf_chk@plt
codo_save_pod_file	__stack_chk_fail@plt
codo_save_pod_file	codo_debug
codo_save_pod_file	codo_free
codo_save_pod_file	codo_fwrite
codo_save_pod_file	codo_fwrite.constprop.10
codo_save_pod_file	codo_fwrite.constprop.11
codo_save_pod_file	codo_malloc
codo_save_pod_file	codo_serialise_synth
codo_save_pod_file	codo_sound_lock
codo_save_pod_file	codo_sound_release
codo_save_pod_set	codo_free
codo_save_pod_set	codo_is_legal_filename
codo_save_pod_set	codo_malloc
codo_save_pod_set	codo_memset
codo_save_pod_set	codo_save_pod_file
codo_save_pod_set	fclose@plt
codo_save_pod_set	fopen@plt
codo_save_pod_set	vdisk_file_owned
codo_save_tga	__sprintf_chk@plt
codo_save_tga	__stack_chk_fail@plt
codo_save_tga	codo_allocate_buffer_size
codo_save_tga	codo_debug
codo_save_tga	codo_free
codo_save_tga	codo_fwrite
codo_save_tga	codo_fwrite.constprop.11
codo_save_tga	codo_is_legal_filename
codo_save_tga	codo_malloc
codo_save_tga	codo_memset
codo_save_tga	fclose@plt
codo_save_tga	fopen@plt
codo_save_tga	fwrite@plt
codo_save_tga	vdisk_file_owned
codo_save_xm	codo_fclose
codo_save_xm	codo_fopen
codo_save_xm	codo_save_xm_to_file
codo_save_xm_to_file	__stack_chk_fail@plt
codo_save_xm_to_file	codo_fwrite
codo_save_xm_to_file	codo_fwrite_uint16
codo_save_xm_to_file	codo_fwrite_uint32
codo_save_xm_to_file	codo_memset
codo_serialise_synth	__stack_chk_fail@plt
codo_serialise_synth	codo_allocate_buffer_size
codo_serialise_synth	codo_fwrite.constprop.10
codo_serialise_synth	fwrite@plt
codo_set_application_title	codo_strcpy
codo_set_mouse	SDL_GetMouseState@plt
codo_set_mouse	__stack_chk_fail@plt
codo_set_screen	__sprintf_chk@plt
codo_set_screen	codo_create_bitmap
codo_set_screen	codo_debug
codo_set_screen	codo_destroy_bitmap
codo_set_screen	codo_set_screen_plat
codo_set_screen_plat	SDLTest_PrintRenderer
codo_set_screen_plat	SDL_CreateRGBSurfaceFrom@plt
codo_set_screen_plat	SDL_CreateRenderer@plt
codo_set_screen_plat	SDL_CreateTexture@plt
codo_set_screen_plat	SDL_CreateWindow@plt
codo_set_screen_plat	SDL_DestroyRenderer@plt
codo_set_screen_plat	SDL_DestroyTexture@plt
codo_set_screen_plat	SDL_DestroyWindow@plt
codo_set_screen_plat	SDL_FreeSurface@plt
codo_set_screen_plat	SDL_GL_CreateContext@plt
codo_set_screen_plat	SDL_GL_DeleteContext@plt
codo_set_screen_plat	SDL_GetCurrentDisplayMode@plt
codo_set_screen_plat	SDL_GetDisplayBounds@plt
codo_set_screen_plat	SDL_GetNumVideoDisplays@plt
codo_set_screen_plat	SDL_RenderClear@plt
codo_set_screen_plat	SDL_RenderPresent@plt
codo_set_screen_plat	SDL_SetHint@plt
codo_set_screen_plat	SDL_SetRenderDrawColor@plt
codo_set_screen_plat	SDL_SetWindowGrab@plt
codo_set_screen_plat	SDL_SetWindowIcon@plt
codo_set_screen_plat	__sprintf_chk@plt
codo_set_screen_plat	__stack_chk_fail@plt
codo_set_screen_plat	codo_create_bitmap
codo_set_screen_plat	codo_debug
codo_set_screen_plat	codo_destroy_bitmap
codo_set_screen_plat	codo_fatal_error
codo_set_screen_plat	codo_get_pixel_perfect
codo_set_screen_plat	codo_memset
codo_set_screen_plat	codo_set_screen_software
codo_set_screen_software	SDLTest_PrintRenderer
codo_set_screen_software	SDL_CreateRGBSurfaceFrom@plt
codo_set_screen_software	SDL_CreateWindow@plt
codo_set_screen_software	SDL_DestroyRenderer@plt
codo_set_screen_software	SDL_DestroyWindow@plt
codo_set_screen_software	SDL_FreeSurface@plt
codo_set_screen_software	SDL_GL_DeleteContext@plt
codo_set_screen_software	SDL_GetCurrentDisplayMode@plt
codo_set_screen_software	SDL_GetDisplayBounds@plt
codo_set_screen_software	SDL_GetNumVideoDisplays@plt
codo_set_screen_software	SDL_SetWindowIcon@plt
codo_set_screen_software	__sprintf_chk@plt
codo_set_screen_software	__stack_chk_fail@plt
codo_set_screen_software	codo_debug
codo_set_screen_software	codo_memset
codo_set_window_icon	SDL_CreateRGBSurfaceFrom@plt
codo_set_window_icon	SDL_SetWindowIcon@plt
codo_set_window_title	codo_strcpy
codo_sfx_is_playing	codo_lock_audio_plat
codo_sfx_is_playing	codo_unlock_audio_plat
codo_sha1	SHA1ProcessMessageBlock
codo_sha1	__sprintf_chk@plt
codo_sha1	__stack_chk_fail@plt
codo_sha1	memset@plt
codo_sound_init	__sprintf_chk@plt
codo_sound_init	codo_debug
codo_sound_init	codo_memset
codo_sound_init	codo_sound_init_plat
codo_sound_init_plat	SDL_GetAudioDriver@plt
codo_sound_init_plat	SDL_GetCurrentAudioDriver@plt
codo_sound_init_plat	SDL_GetError@plt
codo_sound_init_plat	SDL_GetNumAudioDrivers@plt
codo_sound_init_plat	SDL_Init@plt
codo_sound_init_plat	SDL_InitSubSystem@plt
codo_sound_init_plat	SDL_OpenAudio@plt
codo_sound_init_plat	SDL_PauseAudio@plt
codo_sound_init_plat	__sprintf_chk@plt
codo_sound_init_plat	__stack_chk_fail@plt
codo_sound_init_plat	codo_debug
codo_sound_init_plat	codo_set_music_volume
codo_sound_init_plat	codo_set_sound_volume
codo_split_filename	strlen@plt
codo_split_filename_ex	strlen@plt
codo_split_filename_ex.part.0	__stack_chk_fail@plt
codo_split_filename_ex.part.0	codo_strcpy
codo_split_filename_ex.part.0	strlen@plt
codo_stop_all_sounds	codo_lock_audio_plat
codo_stop_pico8_song	codo_lock_audio_plat
codo_stop_sfx	codo_lock_audio_plat
codo_stop_sound	codo_lock_audio_plat
codo_strcasestr	codo_calloc
codo_strcasestr	codo_free
codo_strcasestr	strcpy@plt
codo_strcasestr	strlen@plt
codo_strcasestr	strstr@plt
codo_stretch_blit	codo_blit
codo_stretch_blit	codo_blit_to_video_plat
codo_stretch_blit	codo_draw_sprite32
codo_stretch_blit	codo_draw_sprite8
codo_sts	strcmp@plt
codo_synth_clear_buffers	codo_destroy_sound
codo_synth_clear_buffers	codo_free
codo_synth_clear_buffers	codo_stop_sound
codo_synth_generate	codo_synth_generate_slice.part.2
codo_synth_generate_slice.part.2	codo_create_sound
codo_synth_generate_slice.part.2	codo_free
codo_synth_generate_slice.part.2	codo_random_save
codo_synth_generate_slice.part.2	codo_sound_lock
codo_synth_generate_slice.part.2	codo_sound_release
codo_synth_generate_slice.part.2	codo_srand
codo_synth_generate_slice.part.2	evaluate_synth_node
codo_system_init	SDL_GL_SetAttribute@plt
codo_system_init	SDL_GetCurrentVideoDriver@plt
codo_system_init	SDL_GetVersion@plt
codo_system_init	SDL_Init@plt
codo_system_init	SDL_SetHint@plt
codo_system_init	__sprintf_chk@plt
codo_system_init	__stack_chk_fail@plt
codo_system_init	codo_debug
codo_system_init	codo_fatal_error
codo_system_init	log_system_info
codo_text_exit	codo_destroy_pod
codo_text_init	codo_clear_bitmap
codo_text_init	codo_create_bitmap
codo_text_init	codo_create_pod
codo_text_init	cpod_add_item
codo_timer_end	__stack_chk_fail@plt
codo_timer_end	clock_gettime@plt
codo_trim	codo_free
codo_trim	codo_malloc
codo_trim	codo_strcpy
codo_trim	strlen@plt
codo_undo	apply_patch.isra.1
codo_undo	codo_create_buffer
codo_undo	codo_destroy_buffer
codo_undo	codo_fread_int32
codo_undo	codo_fwrite
codo_undo	codo_fwrite_int32
codo_undo	generate_patch.isra.0
codo_undo_peek_patch	codo_create_buffer
codo_undo_peek_patch	codo_fread_int32
codo_undo_peek_patch	codo_fwrite
codo_unroll_filename	codo_resolve_filename
codo_unroll_filename	strlen@plt
codo_update_music_fading	codo_get_time
codo_update_music_fading	codo_lock_audio_plat
codo_update_music_fading	codo_unlock_audio_plat
codo_video_exit	codo_destroy_bitmap
codo_video_exit	codo_destroy_palette
codo_video_exit_plat	SDL_DestroyWindow@plt
codo_video_exit_plat	SDL_GL_DeleteContext@plt
codo_video_init	codo_create_palette
codo_video_init_plat	SDL_GetDesktopDisplayMode@plt
codo_video_init_plat	__stack_chk_fail@plt
codo_wget	strlen@plt
codo_wget_ex	strlen@plt
codo_wget_ex.part.4	__sprintf_chk@plt
codo_wget_ex.part.4	__stack_chk_fail@plt
codo_wget_ex.part.4	__strcpy_chk@plt
codo_wget_ex.part.4	codo_debug
codo_wget_ex.part.4	dlerror@plt
codo_wget_ex.part.4	dlopen@plt
codo_wget_ex.part.4	dlsym@plt
codo_wget_ex.part.4	fclose@plt
codo_wget_ex.part.4	fopen@plt
codo_wget_ex.part.4	system@plt
codo_wget_with_callbacks	SDL_CreateThread@plt
codo_wget_with_callbacks	__strcpy_chk@plt
codo_wget_with_callbacks	codo_calloc
codo_wget_worker	codo_wget_ex.part.4
compare_alphabetical	strcmp@plt
connect_joystick.part.0	SDL_GameControllerGetJoystick@plt
connect_joystick.part.0	SDL_GameControllerMapping@plt
connect_joystick.part.0	SDL_GameControllerNameForIndex@plt
connect_joystick.part.0	SDL_GameControllerOpen@plt
connect_joystick.part.0	SDL_IsGameController@plt
connect_joystick.part.0	SDL_JoystickInstanceID@plt
connect_joystick.part.0	SDL_JoystickNameForIndex@plt
connect_joystick.part.0	SDL_JoystickNumAxes@plt
connect_joystick.part.0	SDL_JoystickNumBalls@plt
connect_joystick.part.0	SDL_JoystickNumButtons@plt
connect_joystick.part.0	SDL_JoystickOpen@plt
connect_joystick.part.0	__sprintf_chk@plt
connect_joystick.part.0	codo_debug
connect_joystick.part.0	codo_memset
constructor	__stack_chk_fail@plt
constructor	check_match
constructor	checklimit.part.122
constructor	checknext
constructor	llex
constructor	luaK_code
constructor	luaK_exp2nextreg
constructor	luaK_setlist
