address	size	type	bind	section	name
0x9ae2f0	8	STT_OBJECT	STB_LOCAL	25	prev_time.45353
0x9ae2e0	16	STT_OBJECT	STB_LOCAL	25	prev_rel_coords.45354
0x0	0	STT_FILE	STB_LOCAL	SHN_ABS	SDL_dbus.c
0x9ae320	288	STT_OBJECT	STB_LOCAL	25	dbus
0x9ae448	8	STT_OBJECT	STB_LOCAL	25	dbus_handle
0x9ae440	4	STT_OBJECT	STB_LOCAL	25	screensaver_cookie
0x0	0	STT_FILE	STB_LOCAL	SHN_ABS	SDL_systhread.c
0x5ac4b0	16	STT_FUNC	STB_LOCAL	13	RunThread
0x9ae458	4	STT_OBJECT	STB_LOCAL	25	checked_setname
0x9ae450	8	STT_OBJECT	STB_LOCAL	25	ppthread_setname_np
0x676ea0	44	STT_OBJECT	STB_LOCAL	15	sig_list
0x0	0	STT_FILE	STB_LOCAL	SHN_ABS	SDL_syssem.c
0x0	0	STT_FILE	STB_LOCAL	SHN_ABS	SDL_sysmutex.c
0x0	0	STT_FILE	STB_LOCAL	SHN_ABS	SDL_syscond.c
0x0	0	STT_FILE	STB_LOCAL	SHN_ABS	SDL_systls.c
0x8cd440	4	STT_OBJECT	STB_LOCAL	24	thread_local_storage
0x9ae460	4	STT_OBJECT	STB_LOCAL	25	generic_local_storage
0x9ae45c	4	STT_OBJECT	STB_LOCAL	25	lock.9098
0x0	0	STT_FILE	STB_LOCAL	SHN_ABS	SDL_sysjoystick.c
0x5acfb0	162	STT_FUNC	STB_LOCAL	13	SteamControllerDisconnectedCallback
0x9ae478	8	STT_OBJECT	STB_LOCAL	25	SDL_joylist
0x9ae470	8	STT_OBJECT	STB_LOCAL	25	SDL_joylist_tail
0x9ae46c	4	STT_OBJECT	STB_LOCAL	25	numjoysticks
0x5ad060	233	STT_FUNC	STB_LOCAL	13	SteamControllerConnectedCallback
0x9ae468	4	STT_OBJECT	STB_LOCAL	25	instance_counter
0x5ad150	725	STT_FUNC	STB_LOCAL	13	MaybeAddDevice
0x677160	188	STT_OBJECT	STB_LOCAL	15	joystick_blacklist.12787
0x5ad430	233	STT_FUNC	STB_LOCAL	13	joystick_udev_callback
0x5ad520	1205	STT_FUNC	STB_LOCAL	13	HandleInputEvents
0x0	0	STT_FILE	STB_LOCAL	SHN_ABS	SDL_steamcontroller.c
0x0	0	STT_FILE	STB_LOCAL	SHN_ABS	SDL_syshaptic.c
0x5ae310	92	STT_FUNC	STB_LOCAL	13	EV_IsMouse
0x5ae370	308	STT_FUNC	STB_LOCAL	13	EV_IsHaptic
0x5ae4b0	446	STT_FUNC	STB_LOCAL	13	haptic_udev_callback
0x9ae510	8	STT_OBJECT	STB_LOCAL	25	SDL_hapticlist
0x9ae508	8	STT_OBJECT	STB_LOCAL	25	SDL_hapticlist_tail
0x9ae500	4	STT_OBJECT	STB_LOCAL	25	numhaptics
0x5ae670	316	STT_FUNC	STB_LOCAL	13	SDL_SYS_ToDirection
0x9ae480	128	STT_OBJECT	STB_LOCAL	25	namebuf.12667
0x0	0	STT_FILE	STB_LOCAL	SHN_ABS	SDL_syspower.c
0x5b0000	104	STT_FUNC	STB_LOCAL	13	next_string
0x5b0070	97	STT_FUNC	STB_LOCAL	13	int_string
0x5b00e0	179	STT_FUNC	STB_LOCAL	13	open_power_file
0x5b01a0	364	STT_FUNC	STB_LOCAL	13	check_proc_acpi_ac_adapter
0x5b0310	1141	STT_FUNC	STB_LOCAL	13	check_proc_acpi_battery
0x0	0	STT_FILE	STB_LOCAL	SHN_ABS	SDL_sysfilesystem.c
0x0	0	STT_FILE	STB_LOCAL	SHN_ABS	SDL_systimer.c
0x9ae520	4	STT_OBJECT	STB_LOCAL	25	ticks_started
0x9ae550	16	STT_OBJECT	STB_LOCAL	25	start_ts
0x9ae540	4	STT_OBJECT	STB_LOCAL	25	has_monotonic_time
0x9ae530	16	STT_OBJECT	STB_LOCAL	25	start_tv
0x0	0	STT_FILE	STB_LOCAL	SHN_ABS	SDL_udev.c
0x5b1c80	991	STT_FUNC	STB_LOCAL	13	SDL_UDEV_load_syms
0x9ae560	8	STT_OBJECT	STB_LOCAL	25	_this
0x5b2060	229	STT_FUNC	STB_LOCAL	13	get_caps.isra.0
0x5b2150	1237	STT_FUNC	STB_LOCAL	13	device_event
0x8c6580	16	STT_OBJECT	STB_LOCAL	20	SDL_UDEV_LIBS
0x0	0	STT_FILE	STB_LOCAL	SHN_ABS	SDL_poll.c
0x0	0	STT_FILE	STB_LOCAL	SHN_ABS	SDL.c
0x8cd444	4	STT_OBJECT	STB_LOCAL	24	SDL_MainIsReady
0x9ae580	32	STT_OBJECT	STB_LOCAL	25	SDL_SubsystemRefCount
0x9ae5a0	4	STT_OBJECT	STB_LOCAL	25	SDL_bInMainQuit
0x0	0	STT_FILE	STB_LOCAL	SHN_ABS	SDL_assert.c
0x5b3590	195	STT_FUNC	STB_LOCAL	13	debug_print
0x5b3660	924	STT_FUNC	STB_LOCAL	13	SDL_PromptAssertion
0x9ae5ac	4	STT_OBJECT	STB_LOCAL	25	spinlock.51499
0x9ae5b8	8	STT_OBJECT	STB_LOCAL	25	assertion_mutex
0x9ae5c0	8	STT_OBJECT	STB_LOCAL	25	triggered_assertions
0x9ae5a8	4	STT_OBJECT	STB_LOCAL	25	assertion_running.51498
0x9ae5b0	8	STT_OBJECT	STB_LOCAL	25	assertion_userdata
0x8cd448	8	STT_OBJECT	STB_LOCAL	24	assertion_handler
0x0	0	STT_FILE	STB_LOCAL	SHN_ABS	SDL_error.c
0x9ae5e0	1024	STT_OBJECT	STB_LOCAL	25	errmsg.8422
0x0	0	STT_FILE	STB_LOCAL	SHN_ABS	SDL_hints.c
0x9ae9e0	8	STT_OBJECT	STB_LOCAL	25	SDL_hints
0x0	0	STT_FILE	STB_LOCAL	SHN_ABS	SDL_log.c
0x5b4d20	42	STT_FUNC	STB_LOCAL	13	SDL_LogOutput
0x8c65a0	56	STT_OBJECT	STB_LOCAL	20	SDL_priority_prefixes
0x9ae9f0	8	STT_OBJECT	STB_LOCAL	25	SDL_loglevels
0x8cd45c	4	STT_OBJECT	STB_LOCAL	24	SDL_default_priority
0x8cd458	4	STT_OBJECT	STB_LOCAL	24	SDL_assert_priority
0x8cd454	4	STT_OBJECT	STB_LOCAL	24	SDL_application_priority
0x8cd450	4	STT_OBJECT	STB_LOCAL	24	SDL_test_priority
0x8cd460	8	STT_OBJECT	STB_LOCAL	24	SDL_log_function
0x9ae9e8	8	STT_OBJECT	STB_LOCAL	25	SDL_log_userdata
0x0	0	STT_FILE	STB_LOCAL	SHN_ABS	SDL_atomic.c
0x0	0	STT_FILE	STB_LOCAL	SHN_ABS	SDL_spinlock.c
0x0	0	STT_FILE	STB_LOCAL	SHN_ABS	SDL_audio.c
0x5b56e0	2	STT_FUNC	STB_LOCAL	13	SDL_AudioThreadInit_Default
0x5b56f0	3	STT_FUNC	STB_LOCAL	13	SDL_AudioGetPendingBytes_Default
0x5b5700	3	STT_FUNC	STB_LOCAL	13	SDL_AudioGetDeviceBuf_Default
0x5b5710	6	STT_FUNC	STB_LOCAL	13	SDL_AudioCaptureFromDevice_Default
0x5b5720	2	STT_FUNC	STB_LOCAL	13	SDL_AudioDeinitialize_Default
0x5b5730	15	STT_FUNC	STB_LOCAL	13	SDL_BufferQueueFillCallback
0x5b5740	69	STT_FUNC	STB_LOCAL	13	SDL_BufferQueueDrainCallback
0x5b5790	10	STT_FUNC	STB_LOCAL	13	SDL_AudioOpenDevice_Default
0x5b57a0	562	STT_FUNC	STB_LOCAL	13	SDL_RunAudio
0x9aeac0	216	STT_OBJECT	STB_LOCAL	25	current_audio
0x5b59e0	181	STT_FUNC	STB_LOCAL	13	close_audio_device
0x9aea40	128	STT_OBJECT	STB_LOCAL	25	open_devices
0x5b5aa0	42	STT_FUNC	STB_LOCAL	13	SDL_AudioUnlockDevice_Default
0x5b5ad0	2	STT_FUNC	STB_LOCAL	13	SDL_AudioFreeDeviceHandle_Default
0x5b5ae0	2	STT_FUNC	STB_LOCAL	13	SDL_AudioLockOrUnlockDeviceWithNoMixerLock
0x5b5af0	2	STT_FUNC	STB_LOCAL	13	SDL_AudioThreadDeinit_Default
0x5b5b00	2	STT_FUNC	STB_LOCAL	13	SDL_AudioBeginLoopIteration_Default
0x5b5b10	2	STT_FUNC	STB_LOCAL	13	SDL_AudioWaitDevice_Default
0x5b5b20	2	STT_FUNC	STB_LOCAL	13	SDL_AudioPlayDevice_Default
0x5b5b30	2	STT_FUNC	STB_LOCAL	13	SDL_AudioFlushCapture_Default
0x5b5b40	2	STT_FUNC	STB_LOCAL	13	SDL_AudioPrepareToClose_Default
